understat_match_id,player_id,player_name,team_name,opponent_team,is_home,position,position_order,minutes,goals,assists,shots,xG,xA,key_passes,yellow_cards,red_cards,date,home_team,away_team,temperature,apparent_temperature,humidity,rain,wind,weather_code,heavy_rain_flag,strong_wind_flag,freezing_flag,heatwave_flag,storm_flag,extreme_weather_flag,rain_flag,cold_flag,hot_flag,windy_flag,humidity_flag,apparent_cold_flag,apparent_hot_flag,apparent_temperature_gap,match_result,goal_difference,total_goals,home_team_strength_proxy,away_team_strength_proxy,match_importance_proxy,seasonal_indicator,season_year_start,season_progress,team_strength_proxy,team_points,team_goal_difference
11648,7382,Dan Burn,Brighton,Watford,0,DC,3,90,0,0,1,0.0171009004116058,0.0,0,0,0,2019-08-10,Watford,Brighton,17.7,13.7,73,2.2,44.6,53,0,0,0,0,0,0,1,0,0,1,0,0,0,-4.0,loss,-3,3,0.0,0.0,0.0,summer,2019,0.0157894736842105,0.0,3,3
11648,6048,Lewis Dunk,Brighton,Watford,0,DC,3,90,0,1,0,0.0,0.3946560025215149,1,1,0,2019-08-10,Watford,Brighton,17.7,13.7,73,2.2,44.6,53,0,0,0,0,0,0,1,0,0,1,0,0,0,-4.0,loss,-3,3,0.0,0.0,0.0,summer,2019,0.0157894736842105,0.0,3,3
11648,6047,Shane Duffy,Brighton,Watford,0,DC,3,90,0,0,0,0.0,0.0,0,0,0,2019-08-10,Watford,Brighton,17.7,13.7,73,2.2,44.6,53,0,0,0,0,0,0,1,0,0,1,0,0,0,-4.0,loss,-3,3,0.0,0.0,0.0,summer,2019,0.0157894736842105,0.0,3,3
11648,1950,Martín Montoya,Brighton,Watford,0,DMR,5,90,0,0,0,0.0,0.0580853000283241,1,0,0,2019-08-10,Watford,Brighton,17.7,13.7,73,2.2,44.6,53,0,0,0,0,0,0,1,0,0,1,0,0,0,-4.0,loss,-3,3,0.0,0.0,0.0,summer,2019,0.0157894736842105,0.0,3,3
11648,6049,Solly March,Brighton,Watford,0,DML,6,90,0,0,0,0.0,0.0,0,0,0,2019-08-10,Watford,Brighton,17.7,13.7,73,2.2,44.6,53,0,0,0,0,0,0,1,0,0,1,0,0,0,-4.0,loss,-3,3,0.0,0.0,0.0,summer,2019,0.0157894736842105,0.0,3,3
11648,6051,Dale Stephens,Brighton,Watford,0,MC,9,90,0,0,0,0.0,0.021077299490571,1,0,0,2019-08-10,Watford,Brighton,17.7,13.7,73,2.2,44.6,53,0,0,0,0,0,0,1,0,0,1,0,0,0,-4.0,loss,-3,3,0.0,0.0,0.0,summer,2019,0.0157894736842105,0.0,3,3
11648,6050,Davy Pröpper,Brighton,Watford,0,MC,9,90,0,1,1,0.021077299490571,0.3645960092544555,1,0,0,2019-08-10,Watford,Brighton,17.7,13.7,73,2.2,44.6,53,0,0,0,0,0,0,1,0,0,1,0,0,0,-4.0,loss,-3,3,0.0,0.0,0.0,summer,2019,0.0157894736842105,0.0,3,3
11648,239,Pascal Groß,Brighton,Watford,0,FWR,14,90,0,0,0,0.0,0.0,0,0,0,2019-08-10,Watford,Brighton,17.7,13.7,73,2.2,44.6,53,0,0,0,0,0,0,1,0,0,1,0,0,0,-4.0,loss,-3,3,0.0,0.0,0.0,summer,2019,0.0157894736842105,0.0,3,3
11648,882,Glenn Murray,Brighton,Watford,0,FW,15,65,0,0,0,0.0,0.0,0,0,0,2019-08-10,Watford,Brighton,17.7,13.7,73,2.2,44.6,53,0,0,0,0,0,0,1,0,0,1,0,0,0,-4.0,loss,-3,3,0.0,0.0,0.0,summer,2019,0.0157894736842105,0.0,3,3
11648,6542,Jürgen Locadia,Brighton,Watford,0,FWL,16,65,0,0,1,0.0580853000283241,0.0,0,0,0,2019-08-10,Watford,Brighton,17.7,13.7,73,2.2,44.6,53,0,0,0,0,0,0,1,0,0,1,0,0,0,-4.0,loss,-3,3,0.0,0.0,0.0,summer,2019,0.0157894736842105,0.0,3,3
