season_label,dry_avg_goals,rainy_avg_goals,rain_impact_on_goals
2019-2020,2.7950819672131146,2.686046511627907,-0.10903545558520777
2020-2021,2.7127659574468086,2.6888111888111887,-0.02395476863561985
2021-2022,2.789473684210526,2.830827067669173,0.04135338345864703
2022-2023,2.7058823529411766,2.951541850220264,0.24565949727908754
2023-2024,3.0980392156862746,3.3453237410071943,0.2472845253209197
