extreme_type,extreme_matches,baseline_matches,extreme_avg_goals,baseline_avg_goals,extreme_home_win_rate,baseline_home_win_rate,extreme_draw_rate,baseline_draw_rate,goals_delta_vs_baseline,home_win_delta_vs_baseline,draw_delta_vs_baseline
heavy_rain,156,1744,2.9615384615384617,2.865252293577982,0.4166666666666667,0.44323394495412843,0.2692307692307692,0.22362385321100917,0.09628616796047984,-0.02656727828746175,0.04560691601976005
extreme_wind,15,1885,2.2,2.8785145888594164,0.4,0.4413793103448276,0.4,0.2259946949602122,-0.6785145888594162,-0.04137931034482756,0.1740053050397878
very_low_temperature,344,1556,2.7209302325581395,2.9068123393316196,0.44476744186046513,0.4402313624678663,0.21511627906976744,0.2300771208226221,-0.18588210677348016,0.004536079392598813,-0.01496084175285467
any_extreme,397,1503,2.730478589420655,2.91084497671324,0.40554156171284633,0.4504324683965403,0.24937027707808565,0.2215568862275449,-0.18036638729258492,-0.04489090668369394,0.027813390850540742
