player_id,player_name,primary_team,condition,off_appearances,on_appearances,off_minutes,on_minutes,off_xgi_per90,on_xgi_per90,off_goal_involvements_per90,on_goal_involvements_per90,off_team_points,on_team_points,sample_balance
12,Mario Vrancic,Norwich City,rain,5,15,264.0,349.0,0.2203306691213087,0.3820836023136673,0.34090909090909094,0.0,0.4,0.3333333333333333,0.7564469914040115
12,Mario Vrancic,Norwich City,cold,11,9,317.0,296.0,0.1310226824193346,0.5066901470559673,0.0,0.30405405405405406,0.2727272727272727,0.4444444444444444,0.9337539432176656
62,Lukas Rupp,Norwich City,rain,10,21,319.0,1126.0,0.08399691567011755,0.2481549380175094,0.0,0.0,0.9,0.42857142857142855,0.283303730017762
62,Lukas Rupp,Norwich City,cold,15,16,780.0,665.0,0.0764954528914621,0.37075341812201906,0.0,0.0,0.13333333333333333,1.0,0.8525641025641025
65,Timo Werner,Chelsea,rain,18,51,1270.0,3453.0,0.7272389023821418,0.6258726261109502,0.49606299212598426,0.4430929626411816,1.7777777777777777,1.803921568627451,0.36779611931653633
65,Timo Werner,Chelsea,cold,24,45,1837.0,2886.0,0.5304260198158709,0.7312331897382799,0.4899292324442025,0.43659043659043656,1.9583333333333333,1.711111111111111,0.6365211365211365
76,Fabian Schär,Newcastle United,rain,35,102,2882.0,8492.0,0.08157089953669482,0.14578200102822342,0.062456627342123525,0.14837494112105512,1.4285714285714286,1.5098039215686274,0.3393782383419689
76,Fabian Schär,Newcastle United,cold,58,79,4809.0,6565.0,0.08303261484023522,0.16355890943331858,0.056144728633811605,0.1782178217821782,1.6206896551724137,1.3924050632911393,0.7325209444021326
87,Joelinton,Newcastle United,rain,49,107,3675.0,7573.0,0.2992830069393527,0.3029613666212788,0.2693877551020408,0.16638056252475902,1.4081632653061225,1.3364485981308412,0.48527664069721377
87,Joelinton,Newcastle United,cold,69,87,4620.0,6628.0,0.2588912768640204,0.3316405825004966,0.15584415584415584,0.23083886541943271,1.318840579710145,1.3908045977011494,0.6970428485214243
