date,home_team,away_team,scenario,predicted_total_goals,predicted_result,predicted_result_label,home_win_probability,draw_probability,away_win_probability
2024-05-11,Nottingham Forest,Chelsea,normal_day,3.0417296591093157,draw,Draw,0.2778156565439201,0.40763168914519665,0.31455265431088336
2024-05-11,Nottingham Forest,Chelsea,heavy_rain,3.017080083107155,draw,Draw,0.1347994785033581,0.47190900450630463,0.3932915169903372
2024-05-11,Nottingham Forest,Chelsea,extreme_cold,3.0883278127858356,loss,Away Win,0.19715819428590753,0.3244813045763518,0.4783605011377407
2024-05-11,Everton,Sheffield United,normal_day,3.0288405175676925,win,Home Win,0.6627194343886319,0.2523583458066717,0.08492221980469633
2024-05-11,Everton,Sheffield United,heavy_rain,3.1212226430430663,win,Home Win,0.44667803255053656,0.4058274233950261,0.14749454405443738
2024-05-11,Everton,Sheffield United,extreme_cold,2.9286612347624894,win,Home Win,0.5876412726621614,0.25099431340608214,0.16136441393175652
2024-05-11,Fulham,Manchester City,normal_day,3.0933523087808905,draw,Draw,0.21292078372671577,0.4085720150002364,0.37850720127304793
2024-05-11,Fulham,Manchester City,heavy_rain,3.1003086116422565,loss,Away Win,0.09843293211856688,0.4506608310009376,0.4509062368804956
2024-05-11,Fulham,Manchester City,extreme_cold,3.1232566755170454,loss,Away Win,0.14364130452613597,0.30916728141368716,0.547191414060177
2024-05-11,Newcastle United,Brighton,normal_day,3.0824121419864254,win,Home Win,0.7567820704576164,0.19772544407126505,0.04549248547111858
2024-05-11,Newcastle United,Brighton,heavy_rain,3.3991609619756824,win,Home Win,0.5623413808617875,0.350550506573501,0.08710811256471153
2024-05-11,Newcastle United,Brighton,extreme_cold,3.086315748129571,win,Home Win,0.7032961868931334,0.2061074139272219,0.09059639917964464
2024-05-11,Bournemouth,Brentford,normal_day,2.976293383141987,win,Home Win,0.3961431128375457,0.380158561948139,0.22369832521431518
2024-05-11,Bournemouth,Brentford,heavy_rain,2.9734219970369153,draw,Draw,0.21075758100941328,0.48256375832600823,0.3066786606645784
2024-05-11,Bournemouth,Brentford,extreme_cold,2.9806527367714244,loss,Away Win,0.30427622021650486,0.32752488666439555,0.3681988931190996
2024-05-11,Tottenham Hotspur,Burnley,normal_day,2.6108744008941334,draw,Draw,0.37609628607191176,0.38548592557038114,0.23841778835770722
2024-05-11,Tottenham Hotspur,Burnley,heavy_rain,2.58071623817539,draw,Draw,0.19688752319620234,0.4814891530376418,0.32162332376615593
2024-05-11,Tottenham Hotspur,Burnley,extreme_cold,2.5410564805597167,loss,Away Win,0.2850530345503349,0.32771685327633576,0.3872301121733293
2024-05-11,Wolverhampton Wanderers,Crystal Palace,normal_day,3.051151217021061,draw,Draw,0.23951649164107636,0.4287463751240257,0.3317371332348979
2024-05-11,Wolverhampton Wanderers,Crystal Palace,heavy_rain,2.973428387682159,draw,Draw,0.1131226951009486,0.483140688475522,0.40373661642352937
2024-05-11,Wolverhampton Wanderers,Crystal Palace,extreme_cold,3.0760735299443933,loss,Away Win,0.16734081311409663,0.335993240695221,0.4966659461906823
2024-05-11,West Ham United,Luton Town,normal_day,2.668605444016026,win,Home Win,0.4422392752484918,0.3742230374856256,0.1835376872658826
2024-05-11,West Ham United,Luton Town,heavy_rain,2.644997944535676,draw,Draw,0.24459307489910434,0.4938285534055503,0.26157837169534526
2024-05-11,West Ham United,Luton Town,extreme_cold,2.6226592928955896,win,Home Win,0.35229844528566573,0.3343855968333463,0.31331595788098804
2024-05-06,Crystal Palace,Manchester United,normal_day,3.1094805020983367,win,Home Win,0.5290265797922412,0.33074261556188783,0.14023080464587104
