date,home_team,away_team,home_win_probability_extreme_cold,home_win_probability_heavy_rain,home_win_probability_normal_day,predicted_total_goals_extreme_cold,predicted_total_goals_heavy_rain,predicted_total_goals_normal_day,heavy_rain_goal_delta_vs_normal,extreme_cold_goal_delta_vs_normal,heavy_rain_home_win_delta_vs_normal,extreme_cold_home_win_delta_vs_normal
2024-05-14,Tottenham Hotspur,Manchester City,0.0855733350829363,0.05852398416259432,0.13379455366806117,3.0628220349884034,2.9085552335903713,3.0457639136315877,-0.13720868004121645,0.017058121356815725,-0.07527056950546684,-0.048221218585124875
2024-05-11,Fulham,Manchester City,0.14364130452613597,0.09843293211856688,0.21292078372671577,3.1232566755170454,3.1003086116422565,3.0933523087808905,0.006956302861365948,0.02990436673615493,-0.1144878516081489,-0.06927947920057981
2024-05-11,Wolverhampton Wanderers,Crystal Palace,0.16734081311409663,0.1131226951009486,0.23951649164107636,3.0760735299443933,2.973428387682159,3.051151217021061,-0.07772282933890207,0.024922312923332246,-0.12639379654012775,-0.07217567852697973
2024-04-28,Nottingham Forest,Manchester City,0.16755358030323927,0.11387336764916035,0.24102471140953013,3.026088009997808,2.97511122222035,3.050822127028833,-0.07571090480848275,-0.024734117031024905,-0.1271513437603698,-0.07347113110629086
2024-05-11,Nottingham Forest,Chelsea,0.19715819428590753,0.1347994785033581,0.2778156565439201,3.0883278127858356,3.017080083107155,3.0417296591093157,-0.024649576002160778,0.04659815367651987,-0.143016178040562,-0.08065746225801257
2024-05-05,Brighton,Aston Villa,0.19916943672712356,0.1365537794595467,0.2808897224025495,2.656189758969849,2.5451619015320293,2.6532760895052987,-0.10811418797326944,0.0029136694645504058,-0.1443359429430028,-0.08172028567542594
2024-04-28,Tottenham Hotspur,Arsenal,0.20375656437970024,0.13752137258459426,0.2819959857282231,2.9848725160782643,2.8617049324689745,2.9672796234805263,-0.10557469101155181,0.017592892597737997,-0.14447461314362883,-0.07823942134852285
2024-05-15,Manchester United,Newcastle United,0.21033779041667844,0.143734701903782,0.2928341764613932,3.1111620318468765,3.0387549402698606,3.1115460641496298,-0.07279112387976916,-0.000384032302753301,-0.14909947455761122,-0.08249638604471476
2024-05-03,Luton Town,Everton,0.23175651939705905,0.154265587482744,0.30917536276933644,2.9146275944306224,2.693618311241088,2.8320628682131166,-0.13844455697202873,0.08256472621750577,-0.15490977528659244,-0.07741884337227739
2024-05-12,Manchester United,Arsenal,0.2300669901664311,0.1552091287410471,0.311179380803849,2.9644659859306817,2.869585635098407,2.987022974328138,-0.11743733922973076,-0.022556988397456124,-0.1559702520628019,-0.0811123906374179
2024-05-15,Brighton,Chelsea,0.2395692917921157,0.16355429224668533,0.32495691923707526,3.017631333629477,2.9410676258491453,3.0371015709468656,-0.09603394509772034,-0.019470237317388506,-0.16140262699038993,-0.08538762744495956
2024-05-04,Sheffield United,Nottingham Forest,0.2585397040608126,0.17724872901348473,0.34643125046743906,2.5980001010839437,2.595067038204349,2.6322547281343995,-0.03718768993005073,-0.03425462705045579,-0.16918252145395432,-0.08789154640662644
2024-05-19,Sheffield United,Tottenham Hotspur,0.2641765345398493,0.18312626043880498,0.35581370733150586,2.6982798704032085,2.6761596164911676,2.768563544054576,-0.09240392756340832,-0.07028367365136745,-0.17268744689270088,-0.09163717279165656
2024-05-19,Luton Town,Fulham,0.2682601194694008,0.18492948574132692,0.35830194688340467,2.5889033107084747,2.5697230935004645,2.608161988327765,-0.03843889482730045,-0.019258677619290232,-0.17337246114207774,-0.09004182741400385
2024-05-19,Manchester City,West Ham United,0.761098857447124,0.6294138676325328,0.8041271904142565,3.2967470115756368,3.4824431296099525,3.181937090323765,0.3005060392861876,0.11480992125187184,-0.1747133227817237,-0.04302833296713249
2024-04-27,West Ham United,Liverpool,0.2830978548327648,0.1939637476889628,0.3714720716988327,2.5712185729214294,2.524202096836966,2.669299056945527,-0.1450969601085612,-0.09808048402409764,-0.17750832400986988,-0.08837421686606789
2024-05-11,Tottenham Hotspur,Burnley,0.2850530345503349,0.19688752319620234,0.37609628607191176,2.5410564805597167,2.58071623817539,2.6108744008941334,-0.030158162718743498,-0.0698179203344167,-0.17920876287570942,-0.09104325152157683
2024-05-19,Brighton,Manchester United,0.29394685170890317,0.2035707071065809,0.38589304120858636,2.717634843658298,2.7291268565599616,2.8000598701728285,-0.07093301361286697,-0.08242502651453032,-0.18232233410200546,-0.0919461894996832
2024-05-04,Burnley,Newcastle United,0.30133226012679476,0.2093810497963988,0.3943348728768719,3.0357016677293633,2.9778291516220596,2.992731624888643,-0.01490247326658345,0.04297004284072026,-0.18495382308047312,-0.09300261275007715
2024-05-11,Bournemouth,Brentford,0.30427622021650486,0.21075758100941328,0.3961431128375457,2.9806527367714244,2.9734219970369153,2.976293383141987,-0.0028713861050717604,0.00435935362943729,-0.18538553182813244,-0.09186689262104086
2024-05-04,Manchester City,Wolverhampton Wanderers,0.7092977022707445,0.5684299708466678,0.7612288740446767,3.1866174389622497,3.380036822852444,3.051523631321746,0.328513191530698,0.13509380764050372,-0.19279890319800885,-0.05193117177393214
2024-05-11,Newcastle United,Brighton,0.7032961868931334,0.5623413808617875,0.7567820704576164,3.086315748129571,3.3991609619756824,3.0824121419864254,0.31674881998925697,0.003903606143145666,-0.19444068959582883,-0.05348588356448292
2024-05-11,West Ham United,Luton Town,0.35229844528566573,0.24459307489910434,0.4422392752484918,2.6226592928955896,2.644997944535676,2.668605444016026,-0.023607499480350125,-0.04594615112043643,-0.19764620034938749,-0.0899408299628261
2024-05-19,Burnley,Nottingham Forest,0.407833303843569,0.29215121088253637,0.5028655537646245,2.717388785727472,2.8364457493432407,2.744412060665125,0.09203368867811568,-0.027023274937652886,-0.21071434288208812,-0.09503224992105552
2024-05-13,Aston Villa,Liverpool,0.42430565970883477,0.30232989181233905,0.5144491442581424,3.03076368231361,3.0789696256551844,3.0762232122808837,0.0027464133743007046,-0.04545952996727376,-0.21211925244580332,-0.0901434845493076
2024-04-27,Wolverhampton Wanderers,Luton Town,0.4263363677101485,0.30744498626921907,0.5209679000131788,2.516767804574647,2.7049693834593915,2.597269988230925,0.10769939522846661,-0.08050218365627781,-0.21352291374395976,-0.09463153230303034
2024-05-02,Chelsea,Tottenham Hotspur,0.44872446569299823,0.31731504684527617,0.5310483780335509,2.8405317703817192,2.9279206245413136,2.887134664211395,0.04078596032991877,-0.04660289382967564,-0.2137333311882747,-0.08232391234055264
2024-05-19,Brentford,Newcastle United,0.4319871930498669,0.31080826461896527,0.5246681650944419,3.1596874977204523,3.1981035870714747,3.1188023807031526,0.07930120636832205,0.04088511701729969,-0.21385990047547665,-0.09268097204457504
2024-05-05,Liverpool,Tottenham Hotspur,0.432800578397812,0.31161413513101277,0.5256194986289033,2.586946148038779,2.729205929866314,2.645964917131421,0.08324101273489326,-0.05901876909264159,-0.21400536349789057,-0.09281892023109134
2024-05-19,Chelsea,Bournemouth,0.6062834563372679,0.4604814896419655,0.6744944180819685,3.011028676553672,3.1506834027441526,2.965545705584975,0.1851376971591776,0.0454829709686968,-0.21401292844000303,-0.06821096174470065
2024-05-06,Crystal Palace,Manchester United,0.44066771503528523,0.3149883438389755,0.5290265797922412,3.1135126474606203,3.1628534296377575,3.1094805020983367,0.0533729275394208,0.004032145362283579,-0.2140382359532657,-0.08835886475695598
2024-04-27,Newcastle United,Sheffield United,0.5977899008392923,0.45648950400632216,0.6714540076192457,3.2900946101080364,3.5825642091450556,3.2935947249751476,0.288969484169908,-0.0035001148671112148,-0.21496450361292352,-0.07366410677995339
2024-05-11,Everton,Sheffield United,0.5876412726621614,0.44667803255053656,0.6627194343886319,2.9286612347624894,3.1212226430430663,3.0288405175676925,0.09238212547537383,-0.10017928280520305,-0.21604140183809534,-0.07507816172647053
2024-05-19,Arsenal,Everton,0.5455175030016702,0.39890920797915613,0.6169662746119137,2.995348795636797,2.899215977874974,2.9918633297252564,-0.09264735185028217,0.0034854659115404196,-0.21805706663275753,-0.07144877161024343
2024-05-19,Liverpool,Wolverhampton Wanderers,0.5582786716454357,0.41698296860815415,0.6351201893481186,2.9379719715402586,3.1359891990059,2.922494361520783,0.2134948374851171,0.015477610019475563,-0.2181372207399645,-0.076841517702683
2024-05-19,Crystal Palace,Aston Villa,0.5523937980353559,0.4094990639178701,0.6277442596019106,3.2324388788878955,3.184375804350931,3.1173720001693135,0.06700380418161744,0.11506687871858201,-0.2182451956840405,-0.07535046156655467
2024-05-05,Chelsea,West Ham United,0.4985359162437346,0.3627973559193384,0.5811750145642409,2.772513555056693,2.999049235713254,2.8039128609600943,0.1951363747531598,-0.03139930590340123,-0.2183776586449025,-0.08263909832050631
2024-05-04,Arsenal,Bournemouth,0.5447107370602676,0.4036930392577058,0.6222966675742125,3.1014680503499346,3.1433326333431744,3.0490066281254755,0.09432600521769885,0.05246142222445904,-0.21860362831650676,-0.07758593051394491
2024-04-28,Bournemouth,Brighton,0.5077656498723317,0.3749470799827009,0.594267960044265,2.7548174133505676,2.8241729069861337,2.7104253160460376,0.11374759094009601,0.044392097304529976,-0.21932088006156408,-0.08650231017193322
2024-05-04,Brentford,Fulham,0.5253744710109127,0.39045331234384945,0.6098516269931394,2.8361256941085915,3.0316519387581398,2.806012838144309,0.22563910061383075,0.03011285596428248,-0.21939831464929,-0.08447715598222671
