seasonal_indicator,rain_flag,matches,avg_total_goals,avg_goal_difference,avg_points,condition
summer,0,75,2.8666666666666667,0.6533333333333333,1.76,Dry
summer,1,163,2.773006134969325,0.31901840490797545,1.521472392638037,Rainy
winter,0,183,2.579234972677596,0.20765027322404372,1.4918032786885247,Dry
winter,1,462,2.7987012987012987,0.18831168831168832,1.5,Rainy
