player_id,player_name,appearances,minutes,base_xgi,base_goal_involvements,avg_team_strength,baseline_xgi_per90,baseline_goal_involvements_per90,primary_team,team_minutes,rain_player_id,rain_player_name,rain_primary_team,rain_off_appearances,rain_on_appearances,rain_off_minutes,rain_on_minutes,rain_off_xgi_per90,rain_on_xgi_per90,rain_off_goal_involvements_per90,rain_on_goal_involvements_per90,rain_off_team_points,rain_on_team_points,rain_sample_balance,cold_player_id,cold_player_name,cold_primary_team,cold_off_appearances,cold_on_appearances,cold_off_minutes,cold_on_minutes,cold_off_xgi_per90,cold_on_xgi_per90,cold_off_goal_involvements_per90,cold_on_goal_involvements_per90,cold_off_team_points,cold_on_team_points,cold_sample_balance,strength_normalizer,rain_xgi_delta,cold_xgi_delta,rain_points_delta,cold_points_delta,rain_relative_xgi_delta,cold_relative_xgi_delta,rain_sensitivity_component,cold_sensitivity_component,player_climate_index,player_climate_label
1032,Kieran Dowell,19,912,2.4921478219330306,2,0.623157894736842,0.24593564032233856,0.19736842105263158,Norwich City,912,1032,Kieran Dowell,Norwich City,7,12,422.0,490.0,0.3772778484211149,0.13282051416380056,0.4265402843601896,0.0,0.42857142857142855,0.5,0.8612244897959184,1032,Kieran Dowell,Norwich City,9,10,537.0,375.0,0.3376264568397452,0.11463439106941216,0.33519553072625696,0.0,0.4444444444444444,0.5,0.6983240223463687,1.0,-0.24445733425731433,-0.22299206577033304,0.07142857142857145,0.05555555555555558,-0.9939890531397293,-0.9067090295577565,59.30817971085516,43.93441097310572,51.62129534198044,highly affected
11716,Pelly Ruddock Mpanzu,27,1068,1.7920998558402057,0,0.7718518518518519,0.15101965077305105,0.0,Luton Town,1068,11716,Pelly Ruddock Mpanzu,Luton Town,8,19,197.0,871.0,0.0973241379115787,0.16316433049028414,0.0,0.0,1.25,0.47368421052631576,0.2261768082663605,11716,Pelly Ruddock Mpanzu,Luton Town,12,15,515.0,553.0,0.2881736636017132,0.023290325986864736,0.0,0.0,0.3333333333333333,1.0,0.9312839059674503,1.0,0.06584019257870544,-0.26488333761484845,-0.7763157894736843,0.6666666666666667,0.435971029211613,-1.753966031963014,-5.146611237158421,108.13226422953583,51.492826496188705,highly affected
882,Glenn Murray,23,761,3.473649106919765,2,1.0831884057971015,0.4108126407658066,0.23653088042049936,Brighton,761,882,Glenn Murray,Brighton,7,16,256.0,505.0,0.6271093132090754,0.3011652186955555,0.703125,0.0,1.1428571428571428,1.0625,0.5069306930693069,882,Glenn Murray,Brighton,14,9,370.0,391.0,0.6598815341555587,0.17512084906706418,0.24324324324324326,0.23017902813299235,1.2142857142857142,0.8888888888888888,0.9462915601023018,1.0831884057971015,-0.32594409451351986,-0.48476068508849457,-0.0803571428571428,-0.32539682539682535,-0.7934130116004194,-1.180004306062344,26.36820466191635,75.00373006260831,50.68596736226233,highly affected
9619,Issa Kabore,24,1748,3.452178463339805,2,0.7008333333333333,0.17774374239163757,0.10297482837528604,Luton Town,1748,9619,Issa Kabore,Luton Town,6,18,498.0,1250.0,0.3074562990566692,0.1260662598162889,0.18072289156626503,0.07200000000000001,0.8333333333333334,0.5,0.3984,9619,Issa Kabore,Luton Town,10,14,760.0,988.0,0.302217482981321,0.08199471116880412,0.11842105263157894,0.09109311740890688,0.7,0.5,0.7692307692307693,1.0,-0.1813900392403803,-0.22022277181251687,-0.33333333333333337,-0.19999999999999996,-1.020514347226405,-1.2389902949566671,29.788104115449983,68.25332357458976,49.02071384501987,highly affected
7891,Renan Lodi,28,2236,2.070236625149845,1,1.0275,0.08332795002839269,0.04025044722719141,Nottingham Forest,2236,7891,Renan Lodi,Nottingham Forest,13,15,1092.0,1144.0,0.13122272191589673,0.0376102132266843,0.08241758241758242,0.0,1.0,1.2,0.9545454545454546,7891,Renan Lodi,Nottingham Forest,15,13,1167.0,1069.0,0.10390909728630034,0.060860037165924766,0.07712082262210797,0.0,1.2,1.0,0.9160239931448158,1.0275,-0.09361250868921243,-0.04304906012037557,0.19999999999999996,-0.19999999999999996,-0.9361250868921243,-0.4304906012037557,59.018087933263544,28.648008129545506,43.83304803140452,highly affected
7724,Wesley,25,1821,8.187060641124845,6,0.981,0.40463232163714224,0.29654036243822074,Aston Villa,1821,7724,Wesley,Aston Villa,7,18,524.0,1297.0,0.7359788318001133,0.27076526587353633,0.8587786259541985,0.06939090208172706,1.5714285714285714,0.7777777777777778,0.40400925212027755,7724,Wesley,Aston Villa,11,14,715.0,1106.0,0.6451576931232755,0.24913897569447913,0.6293706293706294,0.081374321880651,1.0,1.0,0.6464737793851718,1.0,-0.4652135659265769,-0.3960187174287964,-0.7936507936507936,0.0,-1.1497192415186286,-0.9787125156648505,35.721227399871594,44.28983852533975,40.00553296260567,highly affected
10187,Jarell Quansah,17,1182,1.5022110044956207,2,2.027058823529412,0.1143815485656564,0.15228426395939088,Liverpool,1182,10187,Jarell Quansah,Liverpool,5,12,369.0,813.0,0.2669568273534136,0.04513151428191422,0.24390243902439024,0.11070110701107011,3.0,2.0833333333333335,0.45387453874538747,10187,Jarell Quansah,Liverpool,7,10,468.0,714.0,0.25642288741297453,0.02127882226237225,0.38461538461538464,0.0,2.4285714285714284,2.3,0.6554621848739496,2.027058823529412,-0.22182531307149936,-0.23514406515060227,-0.9166666666666665,-0.12857142857142856,-1.9393452515129128,-2.0557866902424977,32.44892355690698,46.94835023219363,39.698636894550305,highly affected
2344,Christian Atsu,19,733,0.9586593955755229,3,1.1544736842105263,0.11770715634624429,0.3683492496589359,Newcastle United,733,2344,Christian Atsu,Newcastle United,6,13,326.0,407.0,0.16649516573621448,0.07862879993069076,0.8282208588957056,0.0,1.1666666666666667,1.0769230769230769,0.800982800982801,2344,Christian Atsu,Newcastle United,9,10,454.0,279.0,0.16717535578994494,0.03721051639126187,0.39647577092511016,0.3225806451612903,1.2222222222222223,1.0,0.6145374449339207,1.1544736842105263,-0.08786636580552372,-0.12996483939868309,-0.08974358974358987,-0.22222222222222232,-0.7464827843352049,-1.1041371096960486,36.87673639066239,42.32490641602419,39.60082140334329,highly affected
1208,Felipe Anderson,27,1533,5.282320881262421,5,1.0706790123456789,0.31011668578840046,0.29354207436399216,West Ham United,1533,1208,Felipe Anderson,West Ham United,9,18,425.0,1108.0,0.4855027566937839,0.24284314776061344,0.6352941176470589,0.1624548736462094,1.0,0.7222222222222222,0.3835740072202166,1208,Felipe Anderson,West Ham United,14,13,804.0,729.0,0.44215934274634755,0.16448939334095256,0.33582089552238803,0.24691358024691357,0.9285714285714286,0.6923076923076923,0.9067164179104478,1.0706790123456789,-0.24265960893317046,-0.277669949405395,-0.2777777777777778,-0.2362637362637363,-0.7824784026575807,-0.8953724908399654,20.617915782220717,55.07875566587662,37.84833572404867,highly affected
682,Branislav Ivanovic,13,761,0.50840001180768,0,0.6007692307692307,0.060126151199331415,0.0,West Bromwich Albion,761,682,Branislav Ivanovic,West Bromwich Albion,2,11,20.0,741.0,0.0,0.06174898928838219,0.0,0.0,3.0,0.5454545454545454,0.02699055330634278,682,Branislav Ivanovic,West Bromwich Albion,4,9,350.0,411.0,0.13073143160768913,0.0,0.0,0.0,0.5,1.1111111111111112,0.851581508515815,1.0,0.06174898928838219,-0.13073143160768913,-2.4545454545454546,0.6111111111111112,0.6174898928838218,-1.3073143160768912,-0.5041521715631034,72.72581959852783,36.110833713482364,highly affected
