region_group,teams,matches,avg_latitude,avg_total_goals,avg_temperature,rain_share,dry_goals,rainy_goals,rain_impact_on_goals,mild_goals,cold_goals,cold_impact_on_goals
North,13,1007,53.352079245283015,2.904667328699106,9.209632571996028,0.7259185700099305,2.8260869565217392,2.9343365253077973,0.10824956878605807,2.9731051344743276,2.8578595317725752,-0.11524560270175233
South,13,893,51.37480212765958,2.8376259798432253,10.303919372900335,0.6539753639417694,2.796116504854369,2.8595890410958904,0.06347253624152138,2.842696629213483,2.8325892857142856,-0.010107343499197619
